index_num,mobiles,Link,img_links,best_buy_links,Summary, k_Display, k_Processor,  k_Front Camera,k_Rear Camera,k_RAM,k_Storage,k_Battery_Capacity,k_OS,design,display,software,performance,battery life,camera,value for money,b_Price,Alternate names,Brand,Model,Price in India,Release date,Launched in India,Form factor,Thickness,Body type,Dimensions (mm),Weight,IP rating,Battery capacity (mAh),Removable battery,Fast charging,Wireless charging,Colours,SAR value,Refresh Rate,Screen size (inches),Touchscreen,Resolution,Protection type,Aspect ratio,Pixels per inch (PPI),Processor,Processor make,RAM,Internal storage,Expandable storage,Expandable storage type,Expandable storage up to (GB),Dedicated microSD slot,Rear camera,No. of Rear Cameras,Rear autofocus,Rear flash,Front camera,No. of Front Cameras,Front autofocus,Front flash,Pop-Up Camera,Operating system,Skin,Face unlock,3D face recognition,Fingerprint sensor,In-Display Fingerprint Sensor,Compass/ Magnetometer,Proximity sensor,Accelerometer,Ambient light sensor,Gyroscope,Barometer,Temperature sensor,Wi-Fi,Wi-Fi standards supported,GPS,Bluetooth,NFC,Infrared,USB OTG,USB Type-C,Micro-USB,Lightning,Headphones,FM,Number of SIMs,Wi-Fi Direct,Mobile High-Definition Link (MHL),Active 4G on both SIM cards,SIM 1 SIM Type,GSM/CDMA,3G,4G/ LTE,5G,Supports 4G in India (Band 40),SIM 2 SIM Type,Pros,Cons
1,iPhone 16 Pro Max,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dghypfyb&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/iphone-16-pro-max-634x800-1725909635.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dghypfyb&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The iPhone 16 Pro Max adds more screen real estate and offers one of the best battery life we have ever recorded in an iPhone. The new Camera Control is a fun addition and makes using the camera handy. Apple Intelligence features look promising, though some wait for that as it is not here. Cameras are a big step up, and it offers a stunning display. If you're still using the iPhone 14 Pro Max or older models, then the 16 Pro Max makes total sense.",6.90-inch (1320x2868),Apple A18 Pro,12MP,48MP + 12MP + 48MP,8GB,"256GB, 512GB, 1TB",,iOS 18,9.9,9.9,9.9,9.9,7.2,9.9,,137900,,Apple,iPhone 16 Pro Max,137900,9th September 2024,,Touchscreen,,,163.00 x 77.60 x 8.25,227,IP68,,,,Yes,"Black Titanium, Natural Titanium, White Titanium, Desert Titanium",,120 Hz,6.9,Yes,1320x2868 pixels,,,,hexa-core,Apple A18 Pro,8GB,"256GB, 512GB, 1TB",No,No,,,48MP + 12MP + 48MP,3,,,12MP,1,,,,iOS 18,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,No,,Yes,,,,,2,,,,eSIM,,,,Yes,Yes,eSIM,,
2,Samsung Galaxy Z Fold6,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d83zn7tr&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/samsunggalaxyzfold6design1-1200x800-1723471496705.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d83zn7tr&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Samsung Galaxy Z Fold 6 is a refined foldable smartphone that promises top-notch everyday performance. Samsung has improved the crease, and the display experience is fantastic. The software is polished and offers a great experience. The tons of AI features are handy and can come to your rescue for boring stuff like transcribing and summarising meetings into simple bullet points. The cameras are capable, and the battery easily lasts a day. The only big problem here is the pricing. Overall, the Fold 6 is one of the most refined foldable phones in the market right now.",,Snapdragon 8 Gen 3,10MP + 4MP,50MP + 12MP + 10MP,12GB,"256GB, 512GB, 1TB",4400mAh,Android 14,10,9.8,9.8,9.8,7,9.8,,149999,,Samsung,Galaxy Z Fold6,149999,10th July 2023,,Foldable,,,153.30 x 132.60 x 5.60,239,,4400,,Proprietary,Yes,"Silver Shadow, Pink, Navy, Crafted Black, White",,120 Hz,7.6,Yes,1856x2160 pixels,Gorilla Glass Victus 2,,412,octa-core,Snapdragon 8 Gen 3,12GB,"256GB, 512GB, 1TB",,,,,50MP + 12MP + 10MP,3,Yes,Yes,10MP + 4MP,2,,,,Android 14,One UI 6.1.1,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
3,Google Pixel 9 Pro Fold,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjgbgawcuge&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/pixel-9-pro-fold-db-778x800-1723562534.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjgbgawcuge&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Google’s Pixel 9 Pro Fold has a very slim design for a foldable both when closed and open. It has flat sides with a metal frame and rear and front panels made of glass. The design is IP rated but only for water.
Performance is just fine. But software seems to be optimised for battery savings and so is not a buttery smooth experience. Google 7 years of software and security updates along with the phone’s numerous AI features sweeten the deal. The phone comes with several image editing and image generation features which work well.
Camera performance is a bit below average given the phone’s price. The same applies to video recording which is also quite poor.
Battery life is a bit below average considering that the competition manages better. The same applies to wired and wireless charging speeds which are quite slow.",,Google Tensor G4,10MP + 10MP,48MP + 10.5MP + 10.8MP,16GB,256GB,4650mAh,Android 14,9.8,9.7,9.9,9.7,7.1,9.9,,172999,,Google,Pixel 9 Pro Fold,172999,13th August 2024,,Foldable,,,155.20 x 150.20 x 5.10,257,IPX8,4650,,45W Fast Charging,Yes,"Obsidian, Porcelain",,120 Hz,8,Yes,2152x2076 pixels,,,422,octa-core,Google Tensor G4,16GB,256GB,,,,,48MP + 10.5MP + 10.8MP,3,,,10MP + 10MP,2,,,,Android 14,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,2,,,,eSIM,,,,Yes,Yes,eSIM,,
4,Samsung Galaxy S24 Ultra,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dfy7fwqf&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Samsung-Galaxy-S24-Ultra-big-797x800-1732712058.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dfy7fwqf&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Samsung Galaxy S24 Ultra mobile was launched on 17th January 2024. The phone comes with a 120 Hz refresh rate 6.80-inch touchscreen display (QHD+). The display sports Gorilla Glass Armor for protection. Samsung Galaxy S24 Ultra is powered by  an octa-core Snapdragon 8 Gen 3 processor. It comes with 12GB of RAM. The Samsung Galaxy S24 Ultra runs Android 14 and  is powered by a 5000mAh non-removable battery.  The Samsung Galaxy S24 Ultra supports wireless charging. As far as the cameras are concerned, the Samsung Galaxy S24 Ultra on the rear packs a quad camera setup featuring a 200-megapixel (f/1.8) primary  camera;  a 12-megapixel (f/2.2, ultra wide-angle)  camera;  a 50-megapixel (f/3.4, telephoto)  camera, and  a 10-megapixel (f/2.4)  camera. The rear camera setup has multi directional pdaf. It has a single front camera setup for selfies, featuring  a 12-megapixel sensor with an f/2.2 aperture.The Samsung Galaxy S24 Ultra runs One UI 6.1 is based on Android 14 and packs 256GB, 512GB, 1TB of inbuilt storage. The Samsung Galaxy S24 Ultra is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and Nano-SIM cards. The Samsung Galaxy S24 Ultra measures 162.30 x 79.00 x 8.60mm (height x width x thickness)  and weighs 232.00 grams. It was launched in Titanium Gray, Titanium Black, and  Titanium Violet colours. It features an IP68 rating for dust and water protection. Connectivity options on the Samsung Galaxy S24 Ultra include Wi-Fi  802.11 a/b/g/n/ac/ax, GPS, Bluetooth v5.30, NFC, USB Type-C, Wi-Fi Direct, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  barometer,  compass/ magnetometer,  gyroscope,  in-display fingerprint sensor,  proximity sensor, and  fingerprint sensor. Brand exclusive features include Titanium frame, Corning Gorilla Armor (Rear and Front Panel).As of 22nd January 2025, Samsung Galaxy S24 Ultra price in India starts at Rs. 99,999.",6.80-inch,Snapdragon 8 Gen 3,12MP,200MP + 12MP + 50MP + 10MP,12GB,"256GB, 512GB, 1TB",5000mAh,Android 14,9.7,9.6,9.8,9.8,8.1,9.8,,99999,,Samsung,Galaxy S24 Ultra,99999,17th January 2024,,Touchscreen,,,162.30 x 79.00 x 8.60,232,IP68,5000,,,Yes,"Titanium Gray, Titanium Black, Titanium Violet",,120 Hz,6.8,Yes,,Gorilla Glass Armor,,,octa-core,Snapdragon 8 Gen 3,12GB,"256GB, 512GB, 1TB",No,,,No,200MP + 12MP + 50MP + 10MP,4,Multi Directional PDAF,Yes,12MP,1,Dual Pixel PDAF,,,Android 14,One UI 6.1,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,2,Yes,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
5,Google Pixel 9 Pro XL,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjg8jeykfzk&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Pixel-9-Pro-XL-1-709x800-1723558086.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjg8jeykfzk&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Google’s Pixel 9 Pro XL has a premium design made from glass and aluminium with well-rounded corners. It’s also IP68 rated for dust and water resistance and manages to pack a vapour chamber cooling system and wireless charging coil despite its slim appearance.
It has a flat display which gets really bright and can tackle direct sunlight well all while showcasing natural-looking colours. The software experience is top notch and the AI features are very capable and also useful depending on what you want to use.
Overall performance is quite solid for daily use and also for gaming. Camera quality is very impressive and the Video Boost feature sure works wonders to improve video recordings.
The Pixel 9 Pro XL comes with nearly the same battery capacity as its predecessor and so will remain a one-day smartphone for power users. Charging speeds have improved provided you can get your hands on Google’s proprietary charger.",6.80-inch (1344x2992),,42MP,50MP + 48MP + 48MP,16GB,"256GB, 512GB",5060mAh,Android 14,9.6,9.5,9.7,9.5,8.2,9.7,,124999,,Google,Pixel 9 Pro XL,124999,13th August 2024,,Touchscreen,,,162.80 x 76.60 x 8.50,221,IP68,5060,,45W Fast Charging,Yes,"Hazel, Porcelain, Rose Quartz, Obsidian",,,6.8,Yes,1344x2992 pixels,Gorilla Glass Victus 2,,,,Google Tensor G4,16GB,"256GB, 512GB",No,,,,50MP + 48MP + 48MP,3,,Yes,42MP,1,,,,Android 14,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,,,,,,,,,,,,,
6,iPhone 16 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4dqfsdynvh5u&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/iphone-16-pro-641x800-1725909596.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4dqfsdynvh5u&pgtyp=product&pgcat=Mobiles&clicked_on=13,"iPhone 16 Pro mobile was launched on 9th September 2024. The phone comes with a 120 Hz refresh rate 6.30-inch touchscreen display offering a resolution of  1206x2622 pixels at a pixel density of 460 pixels per inch (ppi). iPhone 16 Pro is powered by  a hexa-core Apple A18 Pro processor. It comes with 8GB of RAM. The iPhone 16 Pro supports wireless charging. As far as the cameras are concerned, the iPhone 16 Pro on the rear packs a triple camera setup featuring a 48-megapixel (f/1.78) primary  camera;  a 12-megapixel (f/2.8, telephoto)  camera, and  a 48-megapixel (f/2.2, ultra wide-angle)  camera. It has a single front camera setup for selfies, featuring  a 12-megapixel sensor with an f/1.9 aperture.iPhone 16 Pro is based on iOS 18 and packs 128GB, 256GB, 512GB, 1TB of inbuilt storage. The iPhone 16 Pro is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and eSIM cards. The iPhone 16 Pro measures 149.60 x 71.50 x 8.25mm (height x width x thickness)  and weighs 199.00 grams. It was launched in Black Titanium, Natural Titanium, White Titanium, and  Desert Titanium colours. It features an IP68 rating for dust and water protection. Connectivity options on the iPhone 16 Pro include Wi-Fi 7, Wi-Fi  802.11 b/g/n/ac/ax, GPS, Bluetooth v5.30, NFC, USB Type-C, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  barometer,  gyroscope,  proximity sensor, and  compass/ magnetometer.As of 22nd January 2025, iPhone 16 Pro price in India starts at Rs. 112,900.",6.30-inch (1206x2622),Apple A18 Pro,12MP,48MP + 12MP + 48MP,8GB,"128GB, 256GB, 512GB, 1TB",,iOS 18,9.5,9.4,9.9,9.8,6.8,9.8,,112900,,Apple,iPhone 16 Pro,112900,9th September 2024,,Touchscreen,,,149.60 x 71.50 x 8.25,199,IP68,,,,Yes,"Black Titanium, Natural Titanium, White Titanium, Desert Titanium",,120 Hz,6.3,Yes,1206x2622 pixels,,,,hexa-core,Apple A18 Pro,8GB,"128GB, 256GB, 512GB, 1TB",No,No,,,48MP + 12MP + 48MP,3,,,12MP,1,,,,iOS 18,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,No,,Yes,,,,,2,,,,eSIM,,,,Yes,Yes,eSIM,,
7,Google Pixel 9 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjghbfe2gzr&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Pixel-9-Pro-DB-709x800-1723607993.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2hjghbfe2gzr&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Pixel 9 Pro ticks most checkboxes for a compact flagship smartphone. It packs a solid build and an excellent display. The performance is decent for everyday tasks until you are more inclined towards gaming. On the camera front, the 9 Pro outshines some expensive rivals. There are tons of AI features, and it also comes with Google's 7 years of software support. All of these features make the Pixel 9 Pro an excellent premium device.",6.30-inch (1280x2856),,42MP,50MP + 48MP + 48MP,16GB,256GB,4700mAh,Android 14,9.4,9.3,9.7,9.4,7.1,9.6,,109999,,Google,Pixel 9 Pro,109999,13th August 2024,,Touchscreen,,,152.80 x 72.00 x 8.50,199,IP68,4700,,45W Fast Charging,Yes,"Hazel, Porcelain, Rose Quartz, Obsidian",,,6.3,Yes,1280x2856 pixels,,,,,Google Tensor G4,16GB,256GB,No,,,,50MP + 48MP + 48MP,3,,Yes,42MP,1,,,,Android 14,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,,,,,,,,,,,,,
8,Samsung Galaxy Z Flip6,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dh6zphr1&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/samsunggalaxyzflip6coverscreengadgets360-1200x675-1721636397417.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0dh6zphr1&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Samsung Galaxy Z Flip 6 is an incremental upgrade over the Flip 5 from last year. Samsung, however, is bullish about its entire AI push and works in favour of the Flip 6. There are plenty of features you can use daily that are not at all gimmicky. Specs-wise, there are improvements to the camera and battery front. The display is now brighter than its predecessor. Overall, the Galaxy Z Flip 6 delivers what it promises but at a premium price.",,Snapdragon 8 Gen 3,10MP,50MP + 12MP,12GB,"256GB, 512GB",4000mAh,Android 14,9.8,9.2,9.6,9.3,6.9,9.5,,86999,,Samsung,Galaxy Z Flip6,86999,10th July 2023,,Foldable,,,71.90 x 165.10 x 6.90,187,,4000,,Proprietary,Yes,"Silver Shadow, Yellow, Blue, Mint, Crafted Black, White, Peach",,120 Hz,6.7,Yes,1080x2640 pixels,Gorilla Glass Victus 2,,306,octa-core,Snapdragon 8 Gen 3,12GB,"256GB, 512GB",No,,,,50MP + 12MP,2,Yes,Yes,10MP,1,,,,Android 14,OneUI 6.1.1,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.30",Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
9,Oppo Find X8 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh6bafgccexbag&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/oppo-find-x8-pro-db-660x800-1732173841.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh6bafgccexbag&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Oppo Find X8 Pro goes with the typical Oppo design language consisting of curved sides and rounded corners. It sticks with metal and glass but goes with 3d-curved screens offering a quad-curved panel for its display.
While the quad-curved display looks attractive, it’s not the best outdoors as it produces one too many reflections which can get distracting.
Oppo has included top-notch camera hardware but sadly hasn’t optimised it well, resulting in images that aren’t really best in class. Contrary to its camera capabilities, we were impressed by its video recordings.
Battery life thanks to its new energy-dense battery technology is stellar. The same applies for charging speeds which are class-leading both for wired and wireless charging.
Software is a bit of a mixed bag. Oppo has added plenty of customisation options especially for its lockscreen, but fumbles a bit when it comes to AI features.",6.78-inch (1264x2780),MediaTek Dimensity 9400,32MP,50MP + 50MP + 50MP + 50MP,12GB,256GB,5910mAh,Android 15,9.3,9.1,9,9.6,8.5,9.4,,99999,,Oppo,Find X8 Pro,99999,24th October 2024,,,,,162.27 x 76.67 x 8.34,215,IP69,5910,,80W Fast Charging,Yes,"Pearl White, Space Black",,120 Hz,6.78,Yes,1264x2780 pixels,Gorilla Glass Victus 2,,,octa-core,MediaTek Dimensity 9400,12GB,256GB,No,No,,No,50MP + 50MP + 50MP + 50MP,4,,,32MP,1,,,,Android 15,ColorOS 15,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.40",Yes,,Yes,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
10,Vivo X200 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh77fzyye3tgk9&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/vivo-X200-pro-db-679x800-1728969363.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh77fzyye3tgk9&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Vivo X200 Pro is an all-rounder with outstanding cameras. If you're a camera enthusiast, your search should end with this phone, as it offers a better camera setup than most phones in this price segment. In terms of performance, the phone delivers flagship-grade prowess with no complaints. The battery performance is class-leading, too, with no match in the entire premium Android smartphone range.",6.78-inch (2800x1260),MediaTek Dimensity 9400,32MP,50MP + 50MP + 50MP,16GB,1TB,6000mAh,Android 15,9.2,9,8.9,9.5,8.6,9.3,,94999,,Vivo,X200 Pro,94999,14th October 2024,,Touchscreen,,,162.36 x 75.95 x 8.20,223,IP69,6000,,90W Fast Charging,Yes,"Carbon Black, Titanium Grey, Moonlight White, Sapphire Blue",,120 Hz,6.78,Yes,2800x1260 pixels,,20:09,,3.6 MHz octa-core (1x3.626 MHz + 3x3.3 MHz + 4x2.4 MHz),MediaTek Dimensity 9400,16GB,1TB,,,,,50MP + 50MP + 50MP,3,,Yes,32MP,1,,,,Android 15,Origin OS 5,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,"Yes, v 5.40",,,,Yes,,,,,2,,,,eSIM,,,,Yes,,eSIM,,
